"Alter";"Bildung";"Kinder";"Bruttoeinkommen"
"532";22;13;1;99178
"533";61;18;0;61790
"534";59;12;0;61790
"535";47;18;2;95600
"536";62;18;0;93647
"537";66;18;0;387086
"538";61;11;0;387086
"539";31;18;0;107569
"540";38;10;1;60586
"541";55;11.5;1;49805
"542";79;12;0;32150
"543";76;11;0;32150
"544";28;13.5;0;30109
"545";25;14.5;0;25541
"546";34;10.5;1;21722
"547";48;11.5;0;109157
"548";67;11;0;56319
"549";59;12;0;56319
"550";64;11;1;26270
"551";61;14;1;26270
"552";46;11.5;1;44389
"553";59;11;0;20450
"554";56;9;0;20450
"555";36;10;2;68876
"556";28;11.5;0;66950
"557";26;10;0;32121
"558";50;12;0;89923
"559";74;11;0;59831
"560";55;9;0;34248
"561";52;10;0;34248
"562";31;12;0;47096
"563";28;12;4;32378
"564";19;9;0;34248
"565";63;16;0;86514
"566";63;12;0;86514
"567";40;16;1;25824
"568";41;11.5;2;45219
"569";39;15;2;30424
"570";64;18;0;33309
"571";61;16;0;33309
"572";56;13;0;60718
"573";42;11.5;0;56705
"574";53;16;0;102700
"575";40;18;0;69900
"576";60;10.5;0;56344
"577";54;11.5;0;56344
"578";21;13;0;56344
"579";48;11.5;1;73217
"580";44;12;0;80295
"581";45;16;1;51887
"582";64;10;0;32663
"583";32;12;0;44938
"584";53;10.5;0;34400
"585";39;12;3;54812
"586";45;18;0;134260
"587";30;14.5;0;58265
"588";49;18;1;75956
"589";64;11;0;40058
"590";25;13;0;40058
"591";47;11.5;2;98215
"592";43;9;2;45013
"593";42;12;0;32648
"594";48;11.5;2;52023
"595";54;11.5;1;66188
"596";51;11.5;1;66188
"597";62;10.5;0;30183
"598";27;14;1;43456
"599";57;18;1;96974
"600";48;15;1;134900
"601";55;10.5;0;46732
"602";54;10.5;0;46732
"603";29;15;0;73941
"604";27;18;0;46584
"605";47;10.5;1;31908
"606";55;11.5;0;49350
"607";21;13;0;49350
"608";53;9;0;80219
"609";53;12;0;80219
"610";25;16;0;80219
"611";23;12;0;80219
"612";19;10;0;80219
"613";49;9;2;146631
"614";39;14.5;1;78991
"615";70;11;0;56685
"616";64;11;0;56685
"617";56;11.5;0;54650
"618";24;11.5;0;54650
"619";66;18;0;55837
"620";63;12;0;55837
"621";56;10.5;0;65980
"622";54;9;0;65980
"623";28;10.5;0;65980
"624";72;11;0;26591
"625";62;10.5;0;26591
"626";31;18;0;22193
"627";57;18;0;167545
"628";21;13;0;167545
"629";54;13;0;43010
"630";20;11.5;0;43010
"631";55;11.5;0;113337
"632";51;12;0;113337
"633";58;11.5;0;42960
"634";69;9;0;42960
"635";45;13;0;28636
"636";42;13;2;64155
"637";61;17;1;107927
"638";46;12;1;107927
"639";23;12;1;107927
"640";22;13;1;107927
"641";43;10;1;77277
"642";49;12;0;40489
"643";46;13.5;1;44558
"644";69;11.5;0;35014
"645";66;10.5;0;35014
"646";63;13.5;0;53880
"647";64;9;0;53880
"648";55;10.5;0;130007
"649";52;14;0;130007
"650";30;18;0;130007
"651";55;10.5;0;74179
"652";55;17;0;74179
"653";19;9;0;74179
"654";34;18;0;60606
"655";42;14.5;2;59156
"656";64;9;0;38963
"657";61;9;0;38963
"658";57;12;0;37652
"659";50;10.5;0;37652
"660";25;14;0;37652
"661";54;12;1;33379
"662";52;14;0;71139
"663";53;10.5;1;56574
"664";49;14;1;89180
"665";58;10.5;0;39910
"666";56;10.5;0;39910
"667";71;18;0;72200
"668";77;10.5;0;72200
"669";43;18;2;30555
"670";37;13.5;2;30555
"671";48;13.5;0;27356
"672";38;18;2;88281
"673";35;14.5;3;77151
"674";55;13.5;0;72035
"675";55;18;0;72035
"676";23;13;0;72035
"677";51;14;0;57282
"678";59;13;0;152689
"679";63;18;0;152689
"680";55;11.5;0;29363
"681";50;10;0;29363
"682";50;12;0;77025
"683";50;18;1;74000
"684";50;12;0;43361
"685";64;11;0;39795
"686";63;11;0;39795
"687";69;18;0;20691
"688";64;18;0;20691
"689";36;18;2;76086
"690";63;12;0;23502
"691";48;18;0;214656
"692";45;14.5;3;82266
"693";57;11.5;0;79249
"694";53;12;0;79249
"695";22;13;0;79249
"696";49;14.5;2;65941
"697";45;15;2;71639
"698";63;10.5;0;36591
"699";64;10.5;0;36591
"700";43;11.5;1;30686
"701";30;12;1;49243
"702";64;10.5;0;45414
"703";60;10.5;0;45414
"704";39;11.5;3;101356
"705";38;13.5;1;77899
"706";65;10.5;0;42062
"707";60;9;0;42062
"708";42;15;2;108884
"709";57;16;0;70569
"710";75;11.5;0;36607
"711";49;18;0;85716
"712";64;11;0;71871
"713";63;10.5;0;71871
"714";53;18;0;50678
"715";45;10;0;80791
"716";69;16;0;22350
"717";70;13;0;22350
"718";33;18;0;22350
"719";51;18;0;128486
"720";35;18;2;120117
"721";70;15;0;34200
"722";69;12;0;34200
"723";37;16;0;108308
"724";58;16;0;112908
"725";55;16;0;67120
"726";61;10.5;0;26078
"727";58;16;0;70252
"728";59;11.5;0;52664
"729";56;11.5;0;52664
